State,District,Date,Volumetric Soil Moisture (in %),wkt_geom,ndvi_value,Area,Risk Factor_x,slope_value,Risk Factor_y,Classes,Area Sq. Km,ANNUAL_x,ANNUAL_y,Risk Factor_z,Landslide Probability,Landslide Occurrence,Severity
Kerala,Wayanad,2018-07,28.79,Point (76.00003323507125685 11.60996147925331279),2583.666667,Meppadi,0,835,0.5836666669999999,Built up,15.171968,3275.1,2841.2,0.2879,0.26147000009999993,YES,Low
Kerala,Wayanad,2018-08,29.79,Point (76.00003323507125685 11.60996147925331279),2414.888889,Meppadi,0,836,0.4148888889999998,Kharif crop,14.601216,3354.3,3319.1,0.2979,0.21383666669999993,YES,Low
Kerala,Wayanad,2018-09,24.82,Point (76.00003323507125685 11.60996147925331279),2291.769231,Meppadi,0,836,0.29176923100000024,Rabi crop,15.902656,2956.7,3029.9,0.2482,0.16199076930000006,YES,Low
Kerala,Wayanad,2018-10,29.08,Point (76.00003323507125685 11.60996147925331279),2133.846154,Meppadi,0,837,0.13384615399999983,Zaid crop,0.257152,2609.4,2930.5,0.2908,0.12739384619999994,NO,Low
Kerala,Wayanad,2018-11,24.74,Point (76.00003323507125685 11.60996147925331279),2189.111111,Meppadi,0,838,0.18911111100000016,Double / Triple Crop,82.423488,2683.2,3384.1,0.24739999999999998,0.13095333330000003,NO,Low
Kerala,Wayanad,2018-12,23.71,Point (76.00003323507125685 11.60996147925331279),2131.75,Meppadi,0,836,0.13175,Current fallow,0.545664,1214.0,2835.1,0.2371,0.110655,NO,Low
Kerala,Wayanad,2019-01,20.26,Point (76.00003323507125685 11.60996147925331279),2067.545455,Meppadi,0,834,0.06754545499999995,Plantation,195.971776,1396.3,2290.0,0.2026,0.08104363649999999,NO,Low
Kerala,Wayanad,2019-02,16.16,Point (76.00003323507125685 11.60996147925331279),2062.5,Meppadi,0,834,0.0625,Evergreen forest,261.551808,1071.6,2491.7,0.1616,0.06723,NO,Low
Kerala,Wayanad,2019-03,16.05,Point (76.00003323507125685 11.60996147925331279),2062.5,Meppadi,0,834,0.0625,Deciduous forest,1522.32416,849.4,3063.1,0.1605,0.0669,NO,Low
Kerala,Wayanad,2019-04,20.98,Point (76.00003323507125685 11.60996147925331279),2118.0,Meppadi,0,836,0.118,Degraded / Scrub Forest,3.04192,752.6,1803.2,0.20980000000000001,0.09833999999999998,NO,Low
Kerala,Wayanad,2019-05,24.78,Point (76.00003323507125685 11.60996147925331279),2257.133333,Meppadi,0,838,0.25713333300000024,Littoral swamp,0.0,724.9,3302.5,0.24780000000000002,0.15147999990000008,YES,Low
Kerala,Wayanad,2019-06,27.05,Point (76.00003323507125685 11.60996147925331279),2095.8,Meppadi,0,843,0.09580000000000018,Grassland,4.380992,1171.4,3621.6,0.2705,0.10989000000000004,NO,Low
Kerala,Wayanad,2019-07,26.93,Point (76.00003323507125685 11.60996147925331279),2099.571429,Meppadi,0,846,0.09957142900000009,Shifting cultivation,0.0,333.4,2958.4,0.2693,0.11066142870000001,NO,Low
Kerala,Wayanad,2019-08,30.29,Point (76.00003323507125685 11.60996147925331279),2286.0,Meppadi,0,848,0.286,Wasteland,9.270016,499.5,3253.1,0.3029,0.17667,YES,Low
Kerala,Wayanad,2019-09,30.11,Point (76.00003323507125685 11.60996147925331279),2452.285714,Meppadi,0,853,0.4522857140000001,Rann,0.0,1238.5,2841.2,0.3011,0.22601571420000002,YES,Low
Kerala,Wayanad,2019-10,30.07,Point (76.00003323507125685 11.60996147925331279),2484.142857,Meppadi,0,858,0.4841428569999998,Waterbodies max,10.687488,943.3,3319.1,0.3007,0.2354528570999999,YES,Low
Kerala,Wayanad,2019-11,28.21,Point (76.00003323507125685 11.60996147925331279),2354.615385,Meppadi,0,863,0.35461538500000006,Waterbodies min,4.9392,179.9,3029.9,0.2821,0.1910146155,YES,Low
Kerala,Wayanad,2019-12,25.16,Point (76.00003323507125685 11.60996147925331279),2448.0,Meppadi,0,864,0.448,Snow cover,0.0,365.6,2930.5,0.2516,0.20987999999999998,YES,Low
Kerala,Wayanad,2020-01,18.07,Point (76.00003323507125685 11.60996147925331279),2601.125,Meppadi,0,862,0.601125,Mining,1475.839232,649.7,3384.1,0.1807,0.23454750000000002,YES,Low
Kerala,Wayanad,2020-02,15.61,Point (76.00003323507125685 11.60996147925331279),2515.166667,chooralmala,0,859,0.5151666669999999,Evergreen/Semi evergreen,258.274688,1175.4,2835.1,0.1561,0.20138000009999996,YES,Low
Kerala,Wayanad,2020-03,15.51,Point (76.00003323507125685 11.60996147925331279),2483.75,chooralmala,0,859,0.48375,Forest Plantation,659.663872,481.1,2290.0,0.1551,0.191655,YES,Low
Kerala,Wayanad,2020-04,23.92,Point (76.00003323507125685 11.60996147925331279),2450.125,chooralmala,0,857,0.450125,Kharif crop,33.611648,292.9,2491.7,0.23920000000000002,0.20679750000000002,YES,Low
Kerala,Wayanad,2020-05,26.77,Point (76.00003323507125685 11.60996147925331279),2475.0,chooralmala,0,852,0.475,Rabi crop,2170.265664,2808.3,3063.1,0.2677,0.22280999999999998,YES,Low
Kerala,Wayanad,2020-06,29.29,Point (76.00003323507125685 11.60996147925331279),2477.4,chooralmala,0,848,0.4774000000000001,Zaid crop,344.059968,796.7,1803.2,0.2929,0.23109000000000002,YES,Low
Kerala,Wayanad,2020-07,30.72,Point (76.00003323507125685 11.60996147925331279),2418.428571,chooralmala,0,845,0.4184285709999999,Double / Triple Crop,14071.52365,731.4,3302.5,0.3072,0.21768857129999997,YES,Low
Kerala,Wayanad,2020-08,29.47,Point (76.00003323507125685 11.60996147925331279),2258.2,chooralmala,0,843,0.2581999999999998,Current fallow,4324.757248,1082.2,3621.6,0.29469999999999996,0.16586999999999993,YES,Low
Kerala,Wayanad,2020-09,30.32,Point (76.00003323507125685 11.60996147925331279),2319.75,chooralmala,0,841,0.31975,Plantation,13748.31181,1399.9,2958.4,0.3032,0.186885,YES,Low
Kerala,Wayanad,2020-10,24.61,Point (76.00003323507125685 11.60996147925331279),2226.4,chooralmala,0,841,0.2264000000000001,Evergreen forest,114.266432,875.7,3253.1,0.24609999999999999,0.14175000000000001,NO,Low
Kerala,Wayanad,2020-11,24.32,Point (76.00003323507125685 11.60996147925331279),2386.142857,chooralmala,0,840,0.38614285699999984,Deciduous forest,0.191296,836.5,2841.2,0.2432,0.18880285709999994,YES,Low
Kerala,Wayanad,2020-12,21.9,Point (76.00003323507125685 11.60996147925331279),2418.75,chooralmala,0,841,0.41875,Degraded / Scrub Forest,16.47968,506.0,3319.1,0.21899999999999997,0.19132499999999997,YES,Low
Kerala,Wayanad,2021-01,23.17,Point (76.00003323507125685 11.60996147925331279),2386.545455,chooralmala,0,843,0.3865454549999999,Littoral swamp,0.0,855.0,3029.9,0.23170000000000002,0.18547363649999998,YES,Low
Kerala,Wayanad,2021-02,18.31,Point (76.00003323507125685 11.60996147925331279),2512.363636,chooralmala,0,848,0.512363636,Grassland,695.937984,3124.3,2930.5,0.18309999999999998,0.20863909079999998,YES,Low
Kerala,Wayanad,2021-03,20.04,Point (76.00003323507125685 11.60996147925331279),2535.777778,chooralmala,0,852,0.5357777780000001,Shifting cultivation,0.0,708.4,3384.1,0.2004,0.22085333340000002,YES,Low
Kerala,Wayanad,2021-04,23.48,Point (76.00003323507125685 11.60996147925331279),2703.916667,chooralmala,0,856,0.703916667,Wasteland,818.812736,925.9,2835.1,0.2348,0.28161500009999996,YES,Low
Kerala,Wayanad,2021-05,26.31,Point (76.00003323507125685 11.60996147925331279),2613.666667,chooralmala,0,858,0.6136666669999999,Rann,670.122432,2705.6,2290.0,0.2631,0.2630300001,YES,Low
Kerala,Wayanad,2021-06,26.97,Point (76.00003323507125685 11.60996147925331279),2413.785714,chooralmala,0,859,0.4137857140000001,Waterbodies max,0.0,1715.3,2491.7,0.2697,0.2050457142,YES,Low
Kerala,Wayanad,2021-07,28.82,Point (76.00003323507125685 11.60996147925331279),2418.777778,chooralmala,0,859,0.4187777780000001,Waterbodies min,1469.877696,3079.9,3063.1,0.2882,0.21209333340000003,YES,Low
Kerala,Wayanad,2021-08,28.72,Point (76.00003323507125685 11.60996147925331279),2546.666667,chooralmala,0,861,0.546666667,Snow cover,221.872,2396.1,1803.2,0.2872,0.2501600001,YES,Low
Kerala,Wayanad,2021-09,27.01,Point (76.00003323507125685 11.60996147925331279),2643.666667,chooralmala,0,863,0.643666667,Mining,111.995968,3114.0,3302.5,0.2701,0.2741300001,YES,Low
Kerala,Wayanad,2021-10,29.34,Point (76.00003323507125685 11.60996147925331279),2444.444444,chooralmala,0,864,0.4444444440000002,Evergreen/Semi evergreen,6.25632,2810.9,3621.6,0.2934,0.22135333320000006,YES,Low
Kerala,Wayanad,2021-12,21.85,Point (76.00003323507125685 11.60996147925331279),2441.111111,chooralmala,0,863,0.44111111100000017,Forest Plantation,2383.153024,3270.9,2958.4,0.21850000000000003,0.19788333330000007,YES,Low
Kerala,Wayanad,2022-01,17.16,Point (76.00003323507125685 11.60996147925331279),2668.555556,mundakkai,0,860,0.6685555559999998,Kharif crop,756.973952,1395.7,3253.1,0.1716,0.25204666679999993,YES,Low
Kerala,Wayanad,2022-02,15.63,Point (76.00003323507125685 11.60996147925331279),2548.6,mundakkai,0,859,0.5485999999999999,Rabi crop,14055.52378,1516.9,2841.2,0.1563,0.21146999999999994,YES,Low
Kerala,Wayanad,2022-03,18.31,Point (76.00003323507125685 11.60996147925331279),2255.666667,mundakkai,0,860,0.25566666699999996,Zaid crop,4331.487104,1387.3,3319.1,0.18309999999999998,0.13163000009999998,NO,Low
Kerala,Wayanad,2022-04,25.34,Point (76.00003323507125685 11.60996147925331279),2188.777778,mundakkai,0,859,0.18877777800000012,Double / Triple Crop,13758.86758,1206.5,3029.9,0.2534,0.13265333340000005,NO,Low
Kerala,Wayanad,2022-05,26.79,Point (76.00003323507125685 11.60996147925331279),2288.375,mundakkai,0,861,0.288375,Current fallow,114.410688,936.0,2930.5,0.26789999999999997,0.1668825,YES,Low
