State,District,Date,Volumetric Soil Moisture (in %),wkt_geom,ndvi_value,Area,Risk Factor_x,slope_value,Risk Factor_y,Classes,Area Sq. Km,ANNUAL_x,ANNUAL_y,Risk Factor_z,Risk Score
Kerala,Wayanad,2018-07,28.79,Point (76.00003323507125685 11.60996147925331279),2583.666667,Meppadi,0,835,1,Built up,15.171968,3275.1,2841.2,1,2
Kerala,Wayanad,2018-08,29.79,Point (76.00003323507125685 11.60996147925331279),2414.888889,Meppadi,0,836,1,Kharif crop,14.601216,3354.3,3319.1,1,2
Kerala,Wayanad,2018-09,24.82,Point (76.00003323507125685 11.60996147925331279),2291.769231,Meppadi,0,836,1,Rabi crop,15.902656,2956.7,3029.9,1,2
Kerala,Wayanad,2018-10,29.08,Point (76.00003323507125685 11.60996147925331279),2133.846154,Meppadi,0,837,1,Zaid crop,0.257152,2609.4,2930.5,1,2
Kerala,Wayanad,2018-11,24.74,Point (76.00003323507125685 11.60996147925331279),2189.111111,Meppadi,0,838,1,Double / Triple Crop,82.423488,2683.2,3384.1,1,2
Kerala,Wayanad,2018-12,23.71,Point (76.00003323507125685 11.60996147925331279),2131.75,Meppadi,0,836,1,Current fallow,0.545664,1214.0,2835.1,1,2
Kerala,Wayanad,2019-01,20.26,Point (76.00003323507125685 11.60996147925331279),2067.545455,Meppadi,0,834,1,Plantation,195.971776,1396.3,2290.0,1,2
Kerala,Wayanad,2019-02,16.16,Point (76.00003323507125685 11.60996147925331279),2062.5,Meppadi,0,834,1,Evergreen forest,261.551808,1071.6,2491.7,1,2
Kerala,Wayanad,2019-03,16.05,Point (76.00003323507125685 11.60996147925331279),2062.5,Meppadi,0,834,1,Deciduous forest,1522.32416,849.4,3063.1,1,2
Kerala,Wayanad,2019-04,20.98,Point (76.00003323507125685 11.60996147925331279),2118.0,Meppadi,0,836,1,Degraded / Scrub Forest,3.04192,752.6,1803.2,0,1
Kerala,Wayanad,2019-05,24.78,Point (76.00003323507125685 11.60996147925331279),2257.133333,Meppadi,0,838,1,Littoral swamp,0.0,724.9,3302.5,1,2
Kerala,Wayanad,2019-06,27.05,Point (76.00003323507125685 11.60996147925331279),2095.8,Meppadi,0,843,1,Grassland,4.380992,1171.4,3621.6,1,2
Kerala,Wayanad,2019-07,26.93,Point (76.00003323507125685 11.60996147925331279),2099.571429,Meppadi,0,846,1,Shifting cultivation,0.0,333.4,2958.4,1,2
Kerala,Wayanad,2019-08,30.29,Point (76.00003323507125685 11.60996147925331279),2286.0,Meppadi,0,848,1,Wasteland,9.270016,499.5,3253.1,1,2
Kerala,Wayanad,2019-09,30.11,Point (76.00003323507125685 11.60996147925331279),2452.285714,Meppadi,0,853,1,Rann,0.0,1238.5,2841.2,1,2
Kerala,Wayanad,2019-10,30.07,Point (76.00003323507125685 11.60996147925331279),2484.142857,Meppadi,0,858,1,Waterbodies max,10.687488,943.3,3319.1,1,2
Kerala,Wayanad,2019-11,28.21,Point (76.00003323507125685 11.60996147925331279),2354.615385,Meppadi,0,863,1,Waterbodies min,4.9392,179.9,3029.9,1,2
Kerala,Wayanad,2019-12,25.16,Point (76.00003323507125685 11.60996147925331279),2448.0,Meppadi,0,864,1,Snow cover,0.0,365.6,2930.5,1,2
Kerala,Wayanad,2020-01,18.07,Point (76.00003323507125685 11.60996147925331279),2601.125,Meppadi,0,862,1,Mining,1475.839232,649.7,3384.1,1,2
Kerala,Wayanad,2020-02,15.61,Point (76.00003323507125685 11.60996147925331279),2515.166667,chooralmala,0,859,1,Evergreen/Semi evergreen,258.274688,1175.4,2835.1,1,2
Kerala,Wayanad,2020-03,15.51,Point (76.00003323507125685 11.60996147925331279),2483.75,chooralmala,0,859,1,Forest Plantation,659.663872,481.1,2290.0,1,2
Kerala,Wayanad,2020-04,23.92,Point (76.00003323507125685 11.60996147925331279),2450.125,chooralmala,0,857,1,Kharif crop,33.611648,292.9,2491.7,1,2
Kerala,Wayanad,2020-05,26.77,Point (76.00003323507125685 11.60996147925331279),2475.0,chooralmala,0,852,1,Rabi crop,2170.265664,2808.3,3063.1,1,2
Kerala,Wayanad,2020-06,29.29,Point (76.00003323507125685 11.60996147925331279),2477.4,chooralmala,0,848,1,Zaid crop,344.059968,796.7,1803.2,0,1
Kerala,Wayanad,2020-07,30.72,Point (76.00003323507125685 11.60996147925331279),2418.428571,chooralmala,0,845,1,Double / Triple Crop,14071.52365,731.4,3302.5,1,2
Kerala,Wayanad,2020-08,29.47,Point (76.00003323507125685 11.60996147925331279),2258.2,chooralmala,0,843,1,Current fallow,4324.757248,1082.2,3621.6,1,2
