osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags
30778557,Kalpetta - Meppadi Road,primary,,,,,,7,"""alt_name""=>""Hill Highway"",""lanes""=>""2"",""maxspeed""=>""45"",""maxspeed:bus""=>""40"",""maxspeed:hgv""=>""40"",""maxspeed:motorcycle""=>""45"",""ref""=>""SH59"",""sidewalk""=>""none"",""surface""=>""asphalt"""
380928378,Kalpetta - Meppadi Road,primary,,,,,,7,"""alt_name""=>""Hill Highway"",""lanes""=>""2"",""maxspeed""=>""45"",""maxspeed:bus""=>""40"",""maxspeed:hgv""=>""40"",""maxspeed:motorcycle""=>""45"",""ref""=>""SH59"",""sidewalk""=>""none"",""surface""=>""asphalt"""
380928381,Kalpetta - Meppadi Road,tertiary,,,,,,4,
380928384,Kalpetta - Meppadi Road,unclassified,,,,,,3,
380928388,Kalpetta - Meppadi Road,tertiary,,,,,,24,"""bridge""=>""yes"",""layer""=>""1"""
380928389,Kalpetta - Meppadi Road,primary,,,,,,27,"""bridge""=>""yes"",""layer""=>""1"""
380928392,Kalpetta - Meppadi Road,track,,,,,,0,"""motor_vehicle""=>""yes"""
380928396,Kalpetta - Meppadi Road,unclassified,,,,,,3,
380928398,Kalpetta - Meppadi Road,unclassified,,,,,,3,
380928400,Kalpetta - Meppadi Road,tertiary,,,,,,4,
380928404,Kalpetta - Meppadi Road,unclassified,,,,,,3,
380928406,Kalpetta - Meppadi Road,unclassified,,,,,,3,
380928408,Kalpetta - Meppadi Road,tertiary,,,,,,4,
622581764,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581765,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581766,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581767,Kalpetta - Meppadi Road,service,,,,,,0,"""import""=>""yes"""
622581768,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"",""surface""=>""unpaved"""
622581769,Kalpetta - Meppadi Road,track,,,,,,0,"""import""=>""yes"",""surface""=>""unpaved"""
622581770,Kalpetta - Meppadi Road,service,,,,,,0,"""import""=>""yes"""
622581771,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581772,Kalpetta - Meppadi Road,track,,,,,,0,"""surface""=>""unpaved"""
622581773,Kalpetta - Meppadi Road,track,,,,,,0,"""import""=>""yes"",""surface""=>""unpaved"""
622581775,Kalpetta - Meppadi Road,service,,,,,,0,"""import""=>""yes"""
622581778,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581782,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581785,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
622581788,Kalpetta - Meppadi Road,track,,,,,,0,"""import""=>""yes"",""surface""=>""unpaved"""
622581790,Kalpetta - Meppadi Road,track,,,,,,0,"""import""=>""yes"",""surface""=>""unpaved"""
622581791,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"",""surface""=>""unpaved"""
622581792,Kalpetta - Meppadi Road,residential,,,,,,3,"""import""=>""yes"""
